Word,Definition
Ἅιδης,ao
Ἅρπυιαι,"the Snatchers,"
Ἕρμαιος,of  Hermes
Ἥβη,Hebe
Ὅμηρος,Homer ;
Ὕλη,Hyle
Ἁλοσύδνη,Sea-born
Ἑκάεργος,"nine,"
Ἑλένη,Helen
Ἑλικών,Helicon
Ἑλλανοδικέω,to be a judge at the games
Ἑλληνίζω,speak Greek
Ἑλληνικός,"Hellenic, Greek"
Ἑρμαῖος,called after Hermes
Ἑρμῆς,"pillar surmounted by bust,"
Ἑσπέριος,"towards evening,"
Ἑσπερία,"the Western land,"
Ἑστία,Vesta
Ἑστιάς,"Vestal virgins,"
Ἑωσφόρος,"Bringer of morn, the Morning-star"
Ἡφαιστότευκτος,wrought by Hephaestus
Ἡράκλειος,of Heracles
Ἱππομιγής,"partly a horse, half-horse half-man"
Ῥέα,Rhea
Ῥόδος,Rhodes
Ῥώμη,"Roma, Rome"
Ῥωμαιστί,in Latin
Ὑάκινθος,"Hyacinthus,"
Ὑλεύς,"Ringwood,"
Ὑμήν,"Hymen,"
Ὑπερβόρεοι,"the Hyperboreans, a people"
Ἄξεινος,the Axine
Ἄδωνις,"favourite, darling"
Ἄνακες,"the Dioscuri, Pollux and Castor,"
Ἄθῳος,of mount Athos
Ἄραψ,"Arab,"
Ἄρειος,"devoted to Ares, warlike, martial"
Ἄρειος,"the hill of Ares,"
Ἄρεος,"the spring of Ares,"
Ἄργος,Argus
Ἄργος,Argos
Ἄρης,the god of destruction
Ἔμπουσα,"Empusa, a hobgoblin"
Ἔρεβος,"Erebos,"
Ἴακχος,song
Ἴδη,Ida
Ὄσσα,Ossa
Ἆπις,Apis
Ἶρις,rainbow
Ὦτος,Otus.
Ἀφέσιος,"Releaser,"
Ἀφροδίσιος,"belonging to the goddess of love,"
Ἀφροδίτη,"Aphrodite,"
Ἀφροδισίας,sacred to Aphrodite
Ἀφροδισιάς,"sacred to Aphrodite,"
Ἀφροδισιάζω,have sexual intercourse
Ἀγρεύς,the Hunter
Ἀγυιεύς,guardian of the streets and highways
Ἀλέξανδρος,Alexander
Ἀμφιγυήεις,"with both feet crooked, lame,"
Ἀπις,"Apis,"
Ἀπόλλων,Apollo
Ἀρείων,Arīon
Ἀργεῖος,of
Ἀργειφόντης,"slayer of Argus,"
Ἀρηΐθοος,"swift in war,"
Ἀσφάλειος,securer
Ἀττικίζω,"side with the Athenians,"
Ἐνυάλιος,"the Warlike,"
Ἐπίκλοπος,"thievish, tricky, wily"
Ἐρινύς,"the Erinys,"
Ἐρυθραί,"Serapias cordigera,"
Ἰάν,an Ionian
Ἰσθμιάς,Isthmian festival
Ἰσθμός,"neck, narrow passage"
Ἰταλός,"Italian,"
Ἰώ,the moon
Ἰχνεύμων,tracker
Ὀλύμπιος,"Olympian, of Olympus, dwelling on Olympus,"
Ὀλυμπίας,"the WNW. wind,"
Ὀλυμπιάς,at the Olympic games
Ὀλυμπιάς,"Olympian,"
Ὀλυμπιεῖον,"temple of Olympian Zeus,"
Ὀλυμπιόνικος,"victorious in the Olympic games,"
Ὀλυμπιονίκη,"victory at Olympia,"
Ὀλυμπιονίκης,"conqueror in the Olympic games,"
Ὠγύγιος,"Ogygian, of"
Ὠγυγία,"Ogygia,"
Ὠκεάνης,"the Nile,"
Ὠκεανός,"Oceanus,"
Ὠρίων,"Orion,"
Αἴας,Ajax
Αἶσα,who dispenses to every one his lot
Αἰθίοψ,Burnt-face
Αἰτναῖος,of
Αὐλίς,Aulis
Βάκχειος,of
Βάκχος,"Bacchus,"
Βακίζω,"prophesy like Bacis,"
Βακχάω,"to be in Bacchic frenzy, to rave,"
Βακχέβακχον,the song
Βακχεία,"Bacchic frenzy, revelry,"
Βακχεῖον,"Bacchic revelry,"
Βακχεύω,"celebrate the mysteries of Bacchus,"
Βακχικός,Bis Acc.
Βοιωτάρχης,to be a Boeotarch
Βοιωταρχέω,to be a Boeotarch
Βοιωτιάζω,"to play the Boeotian, speak Boeotian, side with the Boeotians"
Βορέας,north wind
Βρόντης,thunderer
Δαίδαλος,Daedalus
Δαρεικός,dariku
Δελφίς,Delphic
Δελφικός,Delphic
Δῆλος,"Delos,"
Διιπετής,"fallen from Zeus,"
Διιπετής,hovering in air
Διόβλητος,"smitten by Zeus,"
Διόσδοτος,"given by Zeus, heaven-sent,"
Διογενής,"sprung from Zeus,"
Διοσημία,"a sign from Zeus, an omen from the sky,"
Διοτρεφής,"fostered, cherished by Zeus,"
Δόλων,Dolon
Δύσπαρις,"unhappy Paris, Paris of ill omen"
Εἵλως,serfs
Εὖρος,the East wind
Εὐμενέω,to be gracious
